id,created_at,text
1400482640621301766,2021-06-03 16:00:55,"We also discussed ongoing efforts to further strengthen India-US vaccine cooperation, and the potential of our part… https://t.co/YuGrDugNHR"
1400482638876405764,2021-06-03 16:00:55,Spoke to @VP Kamala Harris a short while ago. I deeply appreciate the assurance of vaccine supplies to India as par… https://t.co/r3kiqDseTG
1400417670294552576,2021-06-03 11:42:45,"Earlier today, reviewed India’s Olympic preparations for the upcoming Tokyo games. Discussed the steps taken for su… https://t.co/Bs3mEURGuV"
1400139733666205704,2021-06-02 17:18:20,"The decision on Class XII exams was taken after an extensive consultive process.

We got several inputs from all ov… https://t.co/y2xrFIq7uJ"
1400139590556479489,2021-06-02 17:17:46,"It has been a chaotic year for students. The joys of growing up partly snatched away, confined to their homes, less… https://t.co/OLVnhh1G47"
1400139288012943361,2021-06-02 17:16:34,The teaching community has played an outstanding role in the last year. I would like to applaud all the teachers fo… https://t.co/0bDZPpNhEC
1400139132580466689,2021-06-02 17:15:57,Health and welfare of students is our topmost priority! https://t.co/q7QsipiDF5
1399930257029828609,2021-06-02 03:25:57,Best wishes to the people of Telangana on the state’s Formation Day. The state is blessed with a unique culture and… https://t.co/WlOGHhh6iD
1399729887020126212,2021-06-01 14:09:45,"Government of India has decided to cancel the Class XII CBSE Board Exams. After extensive consultations, we have ta… https://t.co/BOorw7c0YG"
1398967854225973251,2021-05-30 11:41:42,"हमारे यहां कहते हैं कि बेटी जब बोलती है, तो उसके शब्दों में सरस्वती विराजमान होती है और जब अदिति बोल रही है कि हम ज… https://t.co/0Ga5OYlps7"
1398966637999497217,2021-05-30 11:36:52,Greetings to the people of Goa on their Statehood Day. May the state scale new heights of progress. I pray for the… https://t.co/JU274jX1o7
1398927202717212677,2021-05-30 09:00:10,"Sharing a compilation of the pro-people measures undertaken in the last seven years. #7YearsofSeva 

https://t.co/pVEuuZmlqR"
1398927017547112450,2021-05-30 08:59:26,"पिछले 7 सालों में हमने सरकार और जनता से ज्यादा एक देश के रूप में काम किया, एक टीम के रूप में काम किया, ‘Team India’… https://t.co/wOBdc2vTwk"
1398926835623268353,2021-05-30 08:58:43,कोरोना के खिलाफ लड़ाई में बहुत बड़ी भूमिका देश के कई क्षेत्रों के अनेक वॉरियर्स की भी है। क्या आपको पता है कि इस म… https://t.co/6Ki2KPK0jN
1398926714475102209,2021-05-30 08:58:14,"At a time when everybody wants to run away from Coronavirus, our lab technicians do not have that luxury. In the la… https://t.co/VyfH9J0OQ2"
1398926288212172800,2021-05-30 08:56:32,"Our Nari Shakti is at the forefront of helping others.

Sireesha Ji is a loco pilot who has operated an all-woman O… https://t.co/VhijQ9K3fa"
1398925898640994306,2021-05-30 08:54:59,"Group Captain Patnaik, like several other colleagues of the Air Force, has been busy with sorties to boost oxygen s… https://t.co/Cf1Vyjr49l"
1398925696857260035,2021-05-30 08:54:11,"Dinesh Upadhyay Ji belongs to Jaunpur, UP. He has been driving a truck for years but in the time of COVID-19 he has… https://t.co/Cv4ew9JrIY"
1398874407951495169,2021-05-30 05:30:23,#MannKiBaat May 2021. Tune in. https://t.co/Yx0U7QzZ3l
1398648453337583620,2021-05-29 14:32:31,Family Pension under ESIC and EPFO- Employees’ Deposit Linked Insurance Scheme will provide a financial cushion to… https://t.co/NRnSypGsKk
1398630525435265032,2021-05-29 13:21:17,"Supporting our nation’s future!

Several children lost their parents due to COVID-19. The Government will care for… https://t.co/7Iwx1NSGEz"
1398468773158424579,2021-05-29 02:38:32,Had a very productive review meeting in Bhubaneswar. We will continue working together to strengthen disaster manag… https://t.co/NQycungluA
1398300571556319237,2021-05-28 15:30:10,"કચ્છ જે મહારાવો શ્રી પ્રાગમલજી (ત્ર્યા) જે મરણ થી દુ:ખ અનુભવીયાતો, સદ્ગત જી આત્માજી શાંતી લાય અંતર મનસે અરદાસ્ત કરી… https://t.co/aoA21HnTl0"
1398237296399290376,2021-05-28 11:18:44,"কেন্দ্রীয় সরকার পশ্চিমবঙ্গের বোন ও ভাইদের সঙ্গে একাত্মতা প্রকাশ করছে। ঘূর্ণিঝড় ইয়াসের ফলে যে ক্ষতি হয়েছে, তার জ… https://t.co/fdWz1kK7ZG"
1398237143885963265,2021-05-28 11:18:07,ଓଡ଼ିଶାର ଜନସାଧାରଣଙ୍କ ସହିତ କେନ୍ଦ୍ର ସରକାର ଦୃଢ଼ତାର ସହିତ ଅଛନ୍ତି । ବାତ୍ୟା ୟଶ୍ ପରିସ୍ଥିତିର ସମୀକ୍ଷା କଲି । ବର୍ତ୍ତମାନ ଚାଲୁଥିବା… https://t.co/PzAImrs08H
1398235859757932544,2021-05-28 11:13:01,Took stock of the damage caused by Cyclone Yaas. Undertook an aerial survey across parts of Odisha and West Bengal.… https://t.co/Ub1E5HhEcC
